                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0292,                0.72681,                0.96596,                 0.0985,                0.01562,                0.00595,                0.00174,                  4.019,                 10.423,                 3.2607,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.0623,                0.71647,                  1.007,                0.02318,                0.01562,                0.00078,                0.00024,                 4.4084,                 11.192,                 3.6435,               0.001769,               0.001769,               0.001769
                     37,                 1.0719,                0.80326,                 1.0281,                0.02726,                0.01562,                0.00097,                0.00039,                 4.3915,                  10.81,                 3.5904,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.0788,                0.84761,                0.93814,                0.03258,                0.01562,                0.00153,                0.00061,                 4.1027,                 9.4006,                  2.945,              0.0017558,              0.0017558,              0.0017558
                     39,                  1.131,                0.76194,                0.96916,                0.02691,                0.01562,                 0.0009,                0.00045,                 4.0104,                 11.041,                 3.0196,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.1403,                0.72684,                0.95507,                0.02525,                0.01562,                0.00072,                0.00029,                 4.3128,                 11.401,                 3.1277,              0.0017426,              0.0017426,              0.0017426
                     41,                 0.9266,                0.72139,                0.95459,                0.02684,                0.01562,                0.00058,                0.00022,                 4.3353,                  12.51,                 2.9139,               0.001736,               0.001736,               0.001736
                     42,                 1.2067,                 1.0052,                 1.1549,                0.03666,                0.01562,                0.00093,                0.00028,                 4.2496,                  10.25,                 2.8666,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.0293,                0.74681,                0.91857,                0.03217,                0.01562,                0.00099,                 0.0003,                 4.0871,                 11.171,                 2.8664,              0.0017228,              0.0017228,              0.0017228
                     44,                0.95282,                0.70395,                0.97908,                0.06508,                0.01562,                0.00542,                0.00162,                 4.3716,                 11.455,                 3.1146,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.0574,                0.74349,                0.90868,                0.03842,                0.01562,                0.00168,                 0.0005,                 4.2527,                 11.111,                 2.9719,              0.0017096,              0.0017096,              0.0017096
                     46,                0.97751,                0.71361,                 1.0125,                0.07557,                0.01562,                0.00232,                0.00046,                 4.1716,                 11.149,                 3.2015,               0.001703,               0.001703,               0.001703
                     47,                 1.0675,                0.77269,                 0.9799,                0.07474,                0.01562,                0.00361,                0.00108,                 4.2858,                 10.459,                 3.2527,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.1494,                0.76566,                0.95142,                0.08711,                0.01562,                0.00443,                0.00177,                 4.1073,                 10.497,                 3.0357,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.0077,                0.70361,                0.95836,                0.13968,                0.01562,                0.00388,                0.00155,                 4.1253,                 9.1846,                 2.9486,              0.0016832,              0.0016832,              0.0016832
                     50,                0.99839,                0.76707,                0.95805,                0.09953,                0.01562,                0.00478,                0.00191,                 4.0908,                 8.9162,                 2.9063,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.0886,                0.76775,                0.96395,                0.12972,                0.01562,                 0.0058,                 0.0022,                 3.9819,                 9.6661,                 2.7885,                0.00167,                0.00167,                0.00167
                     52,                 1.0475,                0.75715,                0.99097,                0.72039,                0.01562,                0.01555,                0.00622,                 4.0343,                 8.5309,                 2.7693,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.0292,                0.72573,                 0.9021,                0.21477,                0.01562,                 0.0084,                 0.0042,                 4.3333,                 9.7977,                  2.938,              0.0016568,              0.0016568,              0.0016568
                     54,                0.97802,                0.65437,                 0.9621,                0.06846,                0.01562,                0.00367,                 0.0022,                 4.1861,                 9.9921,                 3.0229,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.0474,                0.78949,                0.92195,                0.20869,                0.01562,                0.00804,                0.00483,                 4.3883,                 8.5661,                 3.0276,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.0116,                0.71346,                0.95656,                0.05802,                0.01562,                0.00297,                0.00149,                 4.5265,                 9.2535,                 2.9683,               0.001637,               0.001637,               0.001637
                     57,                 1.0553,                0.70868,                 0.9389,                0.03921,                0.01562,                0.00189,                0.00095,                 4.3605,                 9.9644,                 3.0955,              0.0016304,              0.0016304,              0.0016304
