                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4796,                 1.3768,                 1.1557,                0.03046,                0.01562,                0.00058,                0.00023,                 4.0196,                 7.7966,                 2.5936,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.3584,                 1.4416,                 1.1886,                0.06443,                0.01562,                 0.0019,                0.00032,                 4.3403,                 13.965,                 2.9432,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.4751,                  1.553,                 1.2585,                0.03589,                0.01562,                0.00115,                0.00012,                  4.468,                 25.015,                 2.9504,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.4373,                 1.4169,                 1.0883,                0.03141,                0.01562,                0.00058,                  7e-05,                 4.4274,                 16.251,                 3.1228,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.4062,                 1.2586,                 1.0779,                0.02127,                0.01562,                0.00056,                0.00015,                 3.8981,                 8.9711,                 2.8945,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.5355,                 1.3833,                 1.1317,                0.01709,                0.01562,                0.00049,                0.00014,                 4.0116,                 11.844,                 3.0928,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.2891,                 1.1947,                 1.1218,                0.02352,                0.01562,                0.00086,                0.00022,                   4.08,                  11.53,                 3.2196,               0.001604,               0.001604,               0.001604
                     42,                 1.5522,                 1.5919,                 1.3044,                0.02755,                0.01562,                0.00076,                0.00023,                 4.1612,                 9.4624,                 3.1889,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.3807,                 1.2276,                 1.0467,                0.01457,                0.01562,                0.00055,                0.00021,                 3.8664,                 10.997,                 2.9541,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.2565,                 1.1024,                 1.1167,                0.01602,                0.01562,                0.00049,                0.00023,                 3.8392,                 9.2616,                 2.9245,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.4649,                 1.3786,                 1.0403,                 0.0236,                0.01562,                0.00063,                0.00038,                 4.1488,                 7.9358,                 2.9996,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.3794,                 1.2237,                 1.1823,                0.02954,                0.01562,                0.00098,                0.00028,                  4.243,                 7.7598,                 2.8676,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.3427,                 1.2639,                 1.1206,                0.00757,                0.01562,                0.00031,                  6e-05,                 4.2385,                 9.3248,                 2.8728,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.4296,                  1.152,                 1.0629,                0.06919,                0.01562,                0.00206,                0.00082,                 4.1425,                  8.494,                 2.9084,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.4144,                 1.0834,                 1.0569,                0.04694,                0.01562,                0.00122,                0.00057,                 4.1922,                  10.03,                 2.9641,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.2472,                 1.0852,                  1.082,                0.03088,                0.01562,                0.00088,                0.00044,                 4.4559,                 9.2215,                 2.9129,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.3021,                 1.1168,                 1.0613,                0.10449,                0.01562,                0.00245,                0.00062,                 4.1432,                 6.9003,                 2.7209,               0.001505,               0.001505,               0.001505
                     52,                 1.2721,                   1.12,                  1.083,                0.05321,                0.01562,                0.00163,                0.00062,                  4.356,                 7.8751,                 2.9501,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.2748,                 1.0593,                0.99407,                0.01939,                0.01562,                 0.0006,                 0.0003,                 4.1985,                 9.2463,                 2.9667,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.2748,                 1.0933,                 1.0729,                 0.0114,                0.01562,                 0.0005,                 0.0001,                  4.542,                 7.6315,                  2.977,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.2836,                 1.3524,                 1.0217,                0.02065,                0.01562,                0.00082,                0.00025,                 4.2132,                 7.0147,                 2.9219,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.3241,                 1.0255,                 1.0717,                0.03348,                0.01562,                0.00111,                0.00062,                 4.5236,                  6.188,                 3.0547,              0.0014555,              0.0014555,              0.0014555
